SPECIES,COMMONNAME
Psorothamnus thompsonae,Thompson's Indigobush
Psorothamnus thompsonae var. whitingii,Whiting's Indigobush
Psorothamnus thompsoniae,Thompson's Indigobush
Psorothamnus thompsoniae var. whitingii,Whiting's Indigobush
Psychomyia,
Psychomyia flavida,A Caddisfly
Psychomyiidae,
Psychrophila leptosepala,White Marsh-marigold
Pteridaceae,maidenhair-fern family
Pternohyla fodiens,Lowland Burrowing Treefrog
Pterodroma,
Pterodroma externa,Juan Fernandez Petrel
Pterodroma phaeopygia sandwichensis,Hawaiian Petrel
Pterodroma sandwichensis,Hawaiian Petrel
Pteronarcella,
Pteronarcella badia,Least Salmonfly
Pteronarcyidae,
Pteronarcys,
Pteronarcys californica,Giant Salmonfly
Pteryxia,
Pteryxia davidsonii,Davidson Cliff Carrot
Pteryxia petraea,Rock Wing Parsley
Ptiliogonatidae,
Ptomaphagus,
Ptomaphagus cocytus,A Cave Obligate Beetle
Ptychocheilus,
Ptychocheilus lucius,Colorado Pikeminnow
Puccinellia,alkaligrass
Puccinellia parishii,Parish Alkali Grass
Puffinus,
Puffinus griseus,Sooty Shearwater
Puffinus opisthomelas,Black-vented Shearwater
Puffinus pacificus,Wedge-tailed Shearwater
Puma,
Puma concolor,Mountain Lion
Punctidae,
Punctum,
Punctum californicum,Ribbed Spot
Pupilla,
Pupilla blandi,Rocky Mountain Column
Pupilla blandii,Rocky Mountain Column
Pupilla hebes,Crestless Column
Pupilla syngenes,Top-heavy Column
Pupillidae,
Pupoides,
Pupoides albilabris,White-lip Dagger
Pupoides hordaceus,Ribbed Dagger
Pupoides marginatus,White-lip Dagger
Purpusia arizonica,Arizona whitefeather
Purpusia osterhouii,Arizona whitefeather
Purpusia saxosa,Arizona whitefeather
Purshia,bitterbrush
Purshia glandulosa,Waxy Bitterbrush
Purshia mexicana var. stansburyana,Stansbury's Cliffrose
Purshia pinkavae,Arizona Cliff Rose
Purshia stansburiana,Stansbury's Cliffrose
Purshia stansburyana,Stansbury's Cliffrose
Purshia subintegra,Arizona Cliff Rose
Purshia tridentata var. glandulosa,Waxy Bitterbrush
Purshia x subintegra,Arizona Cliff Rose
Pycreus bipartitus,Shining Flatsedge
Pycreus lagunetto,Shining Flatsedge
Pycreus rivularis,Shining Flatsedge
Pyganodon,
Pyganodon grandis,Giant Floater
Pyganodon grandis corpulenta,Stout Floater
Pygarctia,
Pygarctia flavidorsalis,A Erebid Moth
Pygarctia neomexicana,A Erebid Moth
Pylodictis,
Pylodictis olivaris,Flathead Catfish
Pyrgulopsis,
Pyrgulopsis arizonae,Bylas Springsnail
Pyrgulopsis bacchus,Grand Wash Springsnail
Pyrgulopsis bernardina,San Bernardino Springsnail
Pyrgulopsis cochisi,San Bernardino Springsnail
Pyrgulopsis conica,Kingman Springsnail
Pyrgulopsis deserta,Desert Springsnail
Pyrgulopsis glandulosa,Verde Rim Springsnail
Pyrgulopsis hualapaiensis,Hualapai Springsnail
Pyrgulopsis montezumensis,Montezuma Well Springsnail
Pyrgulopsis morrisoni,Page Springsnail
Pyrgulopsis robusta,Jackson Lake Springsnail
Pyrgulopsis sancarlosensis,Bylas Springsnail
Pyrgulopsis simplex,Fossil Springsnail
Pyrgulopsis sola,Brown Springsnail
Pyrgulopsis solus,Brown Springsnail
Pyrgulopsis thompsoni,Huachuca Springsnail
Pyrgulopsis trivialis,Three Forks Springsnail
Pyrgus,
Pyrgus albescens,Western Checkered Skipper
Pyrgus communis,Checkered Skipper
Pyrgus oileus,Tropical Checkered Skipper
Pyrgus philetas,Philetas Checkered Skipper
Pyrgus scriptura,Small Checkered Skipper
Pyrgus xanthus,Southern Checkered Skipper
Pyrisitia,
Pyrisitia dina,Dina Yellow
Pyrisitia lisa,Little Yellow
Pyrisitia nise,Mimosa Yellow
Pyrisitia proterpia,Tailed Orange
Pyrocephalus,
Pyrocephalus rubinus,Vermilion Flycatcher
Pyrolaceae,wintergreen family
Pyrrhopappus,
Pyrrhopappus rothrockii,False Dandelion
Pyrrocoma,
Pyrrocoma crocea,Western Goldenweed
Pyrrocoma crocea var. genuflexa,Curlyhead Goldenweed
Quercus,oak
Quercus ajoensis,Ajo Mountain Oak
Quercus turbinella var. ajoensis,Ajo Mountain Oak
Quiscalus,
Quiscalus mexicanus,Great-tailed Grackle
Quiscalus quiscula,Common Grackle
Radiocentrum,
Radiocentrum chiricahuana,Chiricahua Mountainsnail
Radiocentrum clappi,Cave Creek Mountainsnail
Radiodiscus,
Radiodiscus millecostatus,Ribbed Pinwheel
Radix,
Radix auricularia,Big-eared Radix
Rafflesiaceae,
Rallidae,
Rallus,
Rallus limicola,Virginia Rail
Rallus longirostris,Ridgway's Rail
Rallus longirostris yumanensis,Yuma Ridgway's Rail
Rallus obsoletus,Ridgway's Rail
Rallus obsoletus yumanensis,Yuma Ridgway's Rail
Ramphotyphlops braminus,Brahminy Blind Snake
Rana berlandieri,Rio Grande Leopard Frog
Rana blairi,Plains Leopard Frog
Rana catesbeiana,American Bullfrog
Rana chiricahuensis,Chiricahua Leopard Frog
Rana onca,Relict Leopard Frog
Rana pipiens,Northern Leopard Frog
Rana subaquavocalis,Chiricahua Leopard Frog
Rana tarahumarae,Tarahumara Frog
Rana yavapaiensis,Lowland Leopard Frog
Ranatra,
Ranatra montezuma,A Water Scorpion
Ranidae,
Ranunculaceae,buttercup family
Ranunculus,buttercup
Ranunculus andersonii,Anderson Buttercup
Ranunculus andersonii var. juniperinus,Juniper Buttercup
Ranunculus arizonicus,Arizona Buttercup
Ranunculus arizonicus var. subaffinis,A Buttercup
Ranunculus cymbalaria,Shore Buttercup
Ranunculus cymbalaria ssp. saximontanus,Shore Buttercup
Ranunculus cymbalaria var. alpinus,Shore Buttercup
Ranunculus cymbalaria var. cymbalaria,Shore Buttercup
Ranunculus cymbalaria var. saximontanus,Shore Buttercup
Ranunculus cymbalaria var. typicus,Shore Buttercup
Ranunculus ellipticus,Elliptical Buttercup
Ranunculus eschscholtzii,Eschscholtz Buttercup
Ranunculus flammula,Flame Flower Buttercup
Ranunculus glaberrimus,Sagebrush Buttercup
Ranunculus glaberrimus var. buddii,Elliptical Buttercup
Ranunculus glaberrimus var. ellipticus,Elliptical Buttercup
Ranunculus inamoenus,Graceful Buttercup
Ranunculus inamoenus subsp. subaffinis,A Buttercup
Ranunculus inamoenus var. alpeophilus,Graceful Buttercup
Ranunculus inamoenus var. inamoenus,Graceful Buttercup
Ranunculus inamoenus var. subaffinis,A Buttercup
Ranunculus juniperinus,Juniper Buttercup
Ranunculus oreogenes,Elliptical Buttercup
Ranunculus pedatifidus,Surefooted Buttercup
Ranunculus subaffinis,A Buttercup
Ranunculus subsagittatus var. subaffinis,A Buttercup
Ranunculus uncinatus,Barbed Buttercup
Rattus,
Rattus norvegicus,Norway or Brown Rat
Rattus rattus,Black or House Rat
Recurvirostra,
Recurvirostra americana,American Avocet
Recurvirostridae,
Regulidae,
Regulus,
Regulus calendula,Ruby-crowned Kinglet
Regulus satrapa,Golden-crowned Kinglet
Reithrodontomys,
Reithrodontomys fulvescens,Fulvous Harvest Mouse
Reithrodontomys megalotis,Western Harvest Mouse
Reithrodontomys montanus,Plains Harvest Mouse
Remartinia,
Remartinia luteipennis,Malachite Darner
Remizidae,
Rena,
Rena dissectus,New Mexico Threadsnake
Rena humilis,Western Threadsnake
Rena humilis cahuilae,Desert Threadsnake
Rena humilis humilis,Southwestern Threadsnake
Rena humilis segregus,Trans-Pecos Threadsnake
Rena humilis utahensis,Utah Threadsnake
Rhamnaceae,buckthorn family
Rhamnus,buckthorn
Rhamnus serrata,Serrate Buckbrush
Rhaphidophoridae,"camel crickets, cave crickets"
Rhaponticum repens,Russian Knapweed
Rhinanthus,
Rhinanthus crista-galli,Little Yellow-rattle
Rhinanthus minor,Little Yellow-rattle
Rhinanthus minor ssp. minor,Little Yellow-rattle
Rhinanthus rigidus,Little Yellow-rattle
Rhinichthys,
Rhinichthys chrysogaster,Longfin Dace
Rhinichthys cobitis,Loach Minnow
Rhinichthys osculus,Speckled Dace
Rhinocheilus,
Rhinocheilus lecontei,Long-nosed Snake
Rhinotropis acanthoclada,Thorn Milkwort
Rhinotropis intermontana,Intermountain Milkwort
Rhinotropis rusbyi,Rusby's Milkwort
Rhionaeschna,
Rhionaeschna dugesi,Arroyo Darner
Rhionaeschna multicolor,Blue-eyed Darner
Rhionaeschna psilus,Turquoise-tipped Darner
Rhithrogena,
Rhithrogena morrisoni,A Mayfly
Rhithrogena plana,A Mayfly
Rhithrogena vitta,A Mayfly
Rhus,sumac
Rhus kearneyi,Kearney Sumac
Rhus kearneyi ssp. kearneyi,Kearney Sumac
Rhyacophila,
Rhyacophila chordata,A Caddisfly
Rhyacophila coloradensis,A Caddisfly
Rhyacophila coloradensis coloradensis,A Caddisfly
Rhyacophila rotunda,A Caddisfly
Rhyacophilidae,
Rhynchelytrum repens,Natal Grass
Rhynchophanes,
Rhynchophanes mccownii,McCown's Longspur
Rhynchopsitta,
Rhynchopsitta pachyrhyncha,Thick-billed Parrot
Rhynchosia,snoutbean
Rhynchosia edulis,Pan-american Snoutbean
Rhynchosia precatoria,Mexican Rosary Bean
Richardsonius,
Richardsonius balteatus,Redside Shiner
Ricinidae,
Ricinus,
Ricinus communis,Castor-bean
Ridgwayia,
Ridgwayia pinicola,Aztec Thrush
Riodinidae,
Riparia,
Riparia riparia,Bank Swallow
Rissa,
Rissa tridactyla,Black-legged Kittiwake
Roldana,
Roldana carlomasonii,Hartweg's Groundsel
Roldana hartwegii,Hartweg's Groundsel
Romaleidae,lubber grasshoppers
Rorippa,yellowcress
Rorippa sinuata,Spreading Yellowcress
Rosa,rose
Rosa arizonica,Woods' Arizona Rose
Rosa arizonica var.  granulifera,Woods' Arizona Rose
Rosa bakeri,Plateu Rose
Rosa chrysocarpa,Plateu Rose
Rosa fendleri,Woods' Rose
Rosa granulifera,Woods' Arizona Rose
Rosa manca,Mancos Rose
Rosa neomexicana,Plateu Rose
Rosa puberulenta,Plateu Rose
Rosa standleyi,Woods' Rose
Rosa stellata,Desert Rose
Rosa stellata ssp. abyssa,Grand Canyon Rose
Rosa woodsii,Woods' Rose
Rosa woodsii ssp. manca,Mancos Rose
Rosa woodsii ssp. puberulenta,Plateu Rose
Rosa woodsii ssp. woodsii,Woods' Rose
Rosa woodsii var. arizonica,Woods' Arizona Rose
Rosa woodsii var. ertterae,Ertter's Rose
Rosa woodsii var. woodsii,Woods' Rose
Rosaceae,rose family
Rotala,
Rotala ramosior,Branched Toothcup
Rubiaceae,madder family
Rubus,blackberry
Rubus bernardinus,Western Raspberry
Rubus deliciosus var. neomexicanus,New Mexico Raspberry
Rubus exrubicundus,New Mexico Raspberry
Rubus hesperius,Western Raspberry
Rubus leucodermis,Western Raspberry
Rubus leucodermis ssp. bernardinus,Western Raspberry
Rubus leucodermis var. bernardinus,Western Raspberry
Rubus leucodermis var. leucodermis,Western Raspberry
Rubus leucodermis var. nigerrimus,Western Raspberry
Rubus leucodermis var. trinitatis,Western Raspberry
Rubus neomexicanus,New Mexico Raspberry
Rubus nigerrimus,Western Raspberry
Rubus occidentalis var. leucodermis,Western Raspberry
Rubus trinitatis,Western Raspberry
Rumex,dock
Rumex orthoneurus,Blumer's Dock
Rumina,
Rumina decollata,Decollate Snail
Rutaceae,rue family
Rynchops,
Rynchops niger,Black Skimmer
Saccharum mexicanum,California Satintail
Sagenosoma,
Sagenosoma elsa,A Sphinx Moth
Sagittaria,arrowhead
Sagittaria graminea,Grassleaf Arrowhead
Sagittaria latifolia,Duck Potato
Sagittaria longiloba,Flecha de Agua
Sagittaria montevidensis,Long-lobed Arrow-head
Sairocarpus,
Sairocarpus kingii,King's Snapdragon
Salicaceae,willow family
Salix,willow
Salix arizonica,Arizona Willow
Salix bebbiana,Bebb's Willow
Salix exigua,Coyote Willow
Salix geyeriana,A Willow
Salix gooddingii,Goodding Willow
Salix monticola,A Willow
Salmo,
Salmo trutta,Brown Trout
Salmo trutta x Salvelinus fontinalis,Tiger Trout
Salmonidae,salmon and trouts
Salpinctes,
Salpinctes obsoletus,Rock Wren
Salvadora,
Salvadora deserticola,Big Bend Patch-nosed Snake
Salvadora grahamiae,Eastern Patch-nosed Snake
Salvadora grahamiae grahamiae,Mountain Patch-nosed Snake
Salvadora hexalepis,Western Patch-nosed Snake
Salvadora hexalepis deserticola,Big Bend Patch-nosed Snake
Salvadora hexalepis hexalepis,Desert Patch-nosed Snake
Salvadora hexalepis mojavensis,Mohave Patch-nosed Snake
Salvelinus,
Salvelinus fontinalis,Brook Trout
Salvia,sage
Salvia amissa,Aravaipa Sage
Salvia arizonica,Arizona Sage
Salvia columbariae,California Sage
Salvia davidsonii,Davidson Sage
Salvia dorrii,Gray Ball Sage
Salvia dorrii ssp. mearnsii,Verde Valley Sage
Salvia pachyphylla,Rose Sage
Salvia pachyphylla ssp. eremopictus,Arizona Rose Sage
Salvinia,
Salvinia molesta,Giant Salvinia
Salviniaceae,
Samolus,brookweed
Samolus vagans,Chiricahua Mountain Brookweed
Sander,
Sander vitreus,Walleye
Sapindaceae,soapberry family
Sapium biloculare,Arrow Poison
Saturniidae,giant silkworm and royal moths
Satyrium,
Satyrium behrii,Behr's Hairstreak
Satyrium ilavia,Ilavia Hairstreak
Satyrium saepium,Hedge-row Hairstreak
Satyrium saepium latalinea,Hedgerow Hairstreak
Satyrium sylvinus,Sylvan Hairstreak
Satyrium titus,Coral Hairstreak
Sauromalus,
Sauromalus ater,Common Chuckwalla
Sauromalus ater (Arizona Population),Common Chuckwalla
Sauromalus ater (Glen Canyon Population),Common Chuckwalla
Sauromalus ater (Western Population),Common Chuckwalla
Sauromalus obesus,Common Chuckwalla
Saururaceae,
Saxifraga,saxifrage
Saxifraga arguta,Brook Saxifrage
Saxifraga cespitosa,Tufted Saxifrage
Saxifraga cespitosa ssp. exaratoides,Tufted Saxifrage
Saxifraga debilis,Pygmy Saxifrage
Saxifraga flagellaris,Whip Saxifrage
Saxifraga odontoloma,Brook Saxifrage
Saxifragaceae,saxifrage family
Sayornis,
Sayornis nigricans,Black Phoebe
Sayornis phoebe,Eastern Phoebe
Sayornis saya,Say's Phoebe
Scaphiopodidae,
Scaphiopus,
Scaphiopus couchii,Couch's Spadefoot
Scarabaeidae,Scarab Beetles
Sceloporus,
Sceloporus bimaculosus,Desert Spiny Lizard
Sceloporus clarkii,Clark's Spiny Lizard
Sceloporus clarkii clarkii,Sonoran Spiny Lizard
Sceloporus clarkii vallaris,Plateau Spiny Lizard
Sceloporus cowlesi,Southwestern Fence Lizard
Sceloporus graciosus,Common Sagebrush Lizard
Sceloporus graciosus graciosus,Northern Sagebrush Lizard
Sceloporus jarrovii,Yarrow's Spiny Lizard
Sceloporus magister,Desert Spiny Lizard
Sceloporus magister bimaculosus,Desert Spiny Lizard
Sceloporus magister uniformis,Desert Spiny Lizard
Sceloporus scalaris,Slevin's Bunchgrass Lizard
Sceloporus slevini,Slevin's Bunchgrass Lizard
Sceloporus tristichus,Plateau  Fence Lizard
Sceloporus undulatus,Fence/Prairie/Plateau Lizard
Sceloporus undulatus cowlesi,Southwestern Fence Lizard
Sceloporus undulatus tristichus,Plateau  Fence Lizard
Sceloporus uniformis,Desert Spiny Lizard
Sceloporus virgatus,Striped Plateau Lizard
Schiedeella,
Schiedeella arizonica,Fallen Ladies'-tresses
Schiedeella fauci-sanguinea,Fallen Ladies'-tresses
Schiedeella michuacana,Michoacan Ladies'-tresses
Schizura,
Schizura biedermani,A Notodontid Moth
Sciaenidae,croakers and drums
Scincidae,Skinks
Scirpus acicularis,Needle Spikerush
Scirpus caribaeus,Canada Spikesedge
Scirpus flavescens,Pale Spike-rush
Scirpus geniculatus,Canada Spikesedge
Scirpus montanus,Mountain Spikerush
Scirpus palustris,Common Spike-rush
Scirpus pauciflorus,Few-flower Spikerush
Scirpus quinqueflorus,Few-flower Spikerush
Scirpus radicans,Rooted Spikerush
Scirpus rostellatus,Beaked Spikerush
Scirpus spadiceus,Hot Springs Fimbry
Sciuridae,squirrels and allies
Sciurus,
Sciurus aberti,Abert's Squirrel
Sciurus aberti chuscensis,Abert's Chuska Squirrel
Sciurus aberti kaibabensis,Kaibab Squirrel
Sciurus arizonensis,Arizona Gray Squirrel
Sciurus arizonensis catalinae,Arizona Gray Squirrel
Sciurus arizonensis huachuca,Arizona Gray Squirrel
Sciurus fremonti neomexicanus,A Red Squirrel
Sciurus kaibabensis,Abert's Squirrel
Sciurus nayaritensis,Mexican Fox Squirrel
Sciurus nayaritensis chiricahuae,Chiricahua Fox Squirrel
Sclerocactus,fishhook cactus
Sclerocactus erectocentrus,Red-spine Butterfly-cactus
Sclerocactus erectocentrus var. 1,Acuna Cactus
Sclerocactus erectocentrus var. 2,Needle-spined Pineapple Cactus
Sclerocactus intermedius,Intermediate Fishhook Cactus
Sclerocactus intertextus,White Fishhook Cactus
Sclerocactus johnsonii,Johnson's Fishhook Cactus
Sclerocactus papyracanthus,Grama-grass Cactus
Sclerocactus parviflorus,Glen Canyon Cactus
Sclerocactus parviflorus ssp. intermedius,Intermediate Fishhook Cactus
Sclerocactus parviflorus ssp. parviflorus,Smallflower Fishhook Cactus
Sclerocactus parviflorus ssp. terrae-canyonae,Longspine Fishhook Cactus
Sclerocactus parviflorus var. intermedius,Intermediate Fishhook Cactus
Sclerocactus parviflorus var. parviflorus,Smallflower Fishhook Cactus
Sclerocactus pubispinus,Great Basin Fishhook Cactus
Sclerocactus pubispinus var. sileri,Siler Fishhook Cactus
Sclerocactus sileri,Siler Fishhook Cactus
Sclerocactus terrae-canyonae,Longspine Fishhook Cactus
Sclerocactus whipplei,Whipple's Fishhook Cactus
Sclerocactus whipplei sensu lato var. whipplei,Whipple's Fishhook Cactus
Sclerocactus whipplei ssp. busekii,Siler Fishhook Cactus
Sclerocactus whipplei var. intermedius,Intermediate Fishhook Cactus
Scolopacidae,"Sandpipers, Snipes, and Relatives"
Scops flammeola,Flammulated Owl
Scopulophila,
Scopulophila rixfordii,Rixford's Rockwort
Scrophulariaceae,figwort family
Scutellaria,skullcap
Scutellaria platyphylla,Mexican Skullcap
Scutellaria platyphylla var. occidentalis,Mexican Skullcap
Scutellaria potosina,Mexican Skullcap
Scutellaria potosina ssp. platyphylla,Mexican Skullcap
Scutellaria potosina ssp. platyphylla var. 1,Mexican Skullcap
Scutellaria potosina var. grahamiana,Mexican Skullcap
Scutellaria potosina var. kaibabensis,Mexican Skullcap
Scutellaria potosina var. tessellata,Huachuca Mountains Skullcap
Scutellaria tessellata,Huachuca Mountains Skullcap
Sebastiania,
Sebastiania bilocularis,Arrow Poison
Seiurus,
Seiurus aurocapilla,Ovenbird
Seiurus aurocapillus,Ovenbird
Seiurus motacilla,Louisiana Waterthrush
Seiurus noveboracensis,Northern Waterthrush
Selaginella,spikemoss
Selaginella densa,Cliff Spike Moss
Selaginella eremophila,Desert Spike Moss
Selaginella leucobryoides,Virgin Narrows Spike Moss
Selaginella watsonii,Alpine Spike Moss
Selaginellaceae,spike-moss family
Selasphorus,
Selasphorus calliope,Calliope Hummingbird
Selasphorus platycercus,Broad-tailed Hummingbird
Selasphorus rufus,Rufous Hummingbird
Selasphorus sasin,Allen's Hummingbird
Selinocarpus,moonpod
Selinocarpus nevadensis,Desert Moonpod
Senecio,ragwort
Senecio arizonicus,Arizona Groundsel
Senecio cardamine,Cress Groundsel
Senecio carlomasonii,Hartweg's Groundsel
Senecio franciscanus,San Francisco Peaks Ragwort
Senecio hartianus,Hart's Groundsel
Senecio hartwegii,Hartweg's Groundsel
Senecio huachucanus,Huachuca Groundsel
Senecio lemmonii,Lemmon Ragwort
Senecio multidentatus,Huachuca Mountain Ragwort
Senecio multidentatus var. huachucanus,Huachuca Groundsel
Senecio neomexicanus,New Mexico Groundsel
Senecio neomexicanus var. toumeyi,Toumey Groundsel
Senecio parryi,Mountain Groundsel
Senecio prionophyllus,Hart's Groundsel
Senecio quaerens,Hart's Groundsel
Senecio quercetorum,Arizona Groundsel
Senna,senna
Senna armata,Desert Cassia
Senna bauhinioides,Twinleaf Senna
Senticolis,
Senticolis triaspis,Green Ratsnake
Senticolis triaspis intermedia,Northern Green Ratsnake
Serapias gigantea,Giant Helleborine
Sericostomatidae,
Serratella,
Serratella micheneri,A Mayfly
Setaria,bristlegrass
Setaria villosissima,Hairy-leaved Foxtail
Setophaga,
Setophaga americana,Northern Parula
Setophaga caerulescens,Black-throated Blue Warbler
Setophaga castanea,Bay-breasted Warbler
Setophaga cerulea,Cerulean Warbler
Setophaga citrina,Hooded Warbler
Setophaga coronata,Yellow-rumped Warbler
Setophaga discolor,Prairie Warbler
Setophaga dominica,Yellow-throated Warbler
Setophaga fusca,Blackburnian Warbler
Setophaga graciae,Grace's Warbler
Setophaga magnolia,Magnolia Warbler
Setophaga nigrescens,Black-throated Gray Warbler
Setophaga occidentalis,Hermit Warbler
Setophaga palmarum,Palm Warbler
Setophaga pensylvanica,Chestnut-sided Warbler
Setophaga petechia,Yellow Warbler
Setophaga pinus,Pine Warbler
Setophaga pitiayumi,Tropical Parula
Setophaga ruticilla,American Redstart
Setophaga striata,Blackpoll Warbler
Setophaga tigrina,Cape May Warbler
Setophaga townsendi,Townsend's Warbler
Setophaga virens,Black-throated Green Warbler
Seymeria,
Seymeria bipinnatisecta,Sierra Madre Seymeria
Shepherdia,
Shepherdia argentea,Silver Buffaloberry
Shepherdia canadensis,Canadian Buffaloberry
Shepherdia rotundifolia,Roundleaf Buffaloberry
Sialia,
Sialia currucoides,Mountain Bluebird
Sialia mexicana,Western Bluebird
Sialia sialis,Eastern Bluebird
Sialia sialis fulva,Azure Bluebird
Sialia sialis sialis,Eastern Bluebird
Sibirionetta,
Sibirionetta formosa,Baikal Teal
Sicyos,
Sicyos laciniatus,Cut-leaf Bur-cucumber
Sicyos laciniatus var. genuinus,Cut-leaf Bur-cucumber
Sicyosperma,
Sicyosperma gracile,Climbing Arrowheads
Sideranthus grindelioides,Rayless Aster
Siella erecta,Cut-leaf-water-parsnip
Sigmodon,
Sigmodon arizonae,Arizona Cotton Rat
Sigmodon arizonae arizonae,Camp Verde Cotton Rat
Sigmodon arizonae cienegae,Arizona Cotton Rat
Sigmodon arizonae jacksoni,Yavapai Cotton Rat
Sigmodon arizonae plenus,Colorado River Cotton Rat
Sigmodon fulviventer,Tawny-bellied Cotton Rat
Sigmodon hispidus,Hispid Cotton Rat
Sigmodon hispidus cienegae,Arizona Cotton Rat
Sigmodon hispidus eremicus,Yuma Hispid Cotton Rat
Sigmodon ochrognathus,Yellow-nosed Cotton Rat
Silene,catchfly
Silene rectiramea,Grand Canyon Catchfly
Simaroubaceae,
Sinapis,
Sinapis arvensis,Corn Mustard
Siproeta,
Siproeta stelenes,Malachite
Sistrurus,
Sistrurus catenatus,Western Massasauga
Sistrurus catenatus edwardsii,Desert Massasauga
Sistrurus tergeminus,Western Massasauga
Sistrurus tergeminus edwardsii,Desert Massasauga
Sisymbrium ambiguum,Long Valley Tumble-mustard
Sisyrinchium,blue-eyed grass
Sisyrinchium cernuum,Nodding Blue-eyed Grass
Sisyrinchium longipes,Timberland Blue-eyed-grass
Sitta,
Sitta canadensis,Red-breasted Nuthatch
Sitta carolinensis,White-breasted Nuthatch
Sitta pygmaea,Pygmy Nuthatch
Sittidae,
Sium,
Sium angustifolium,Cut-leaf-water-parsnip
Sium suave,Water Parsnip
Smerinthus,
Smerinthus cerisyi,One-eyed Sphinx
Smerinthus saliceti,Willow Sphinx
Smicridea,
Smicridea arizonensis,A Caddisfly
Smicridea dispar,A Caddisfly
Smicridea fasciatella,A Caddisfly
Smicridea signata,A Caddisfly
Smilisca,
Smilisca fodiens,Lowland Burrowing Treefrog
Solanaceae,potato family
Solanum,nightshade
Solanum carolinense,Carolina Horse-nettle
Solanum heterodoxum,Melonleaf Nightshade
Solanum lumholtzianum,Lumholtz Nightshade
Solanum pinnatisectum,Tansy-leaf Nightshade
Solidago,goldenrod
Solidago sarothrae,Broom Snakeweed
Solidago spectabilis,Remarkable Goldenrod
Sonchus,sowthistle
Sonchus arvensis,Field Sowthistle
Sonora,
Sonora semiannulata,Western Groundsnake
Sonora semiannulata semiannulata,Variable Groundsnake
Sonorarctia,
Sonorarctia fervida,A Erebid Moth
Sonorella,
Sonorella allynsmithi,Phoenix Talussnail
Sonorella ambigua,Papago Talussnail
Sonorella ambigua ambigua,Papago Talussnail
Sonorella ambigua verdensis,Papago Verde Talussnail
Sonorella anchana,Sierra Ancha Talussnail
Sonorella apache,Apache Talussnail
Sonorella ashmuni,Richinbar Talussnail
Sonorella baboquivariensis,Baboquivari Talussnail
Sonorella bagnarai,Rincon Talussnail
Sonorella bartschi,Escabrosa Talussnail
Sonorella bequaerti,Happy Valley Talussnail
Sonorella bicipitis,Dos Cabezas Talussnail
Sonorella binneyi,Horseshoe Canyon Talussnail
Sonorella bowiensis,Quartzite Hill Talussnail
Sonorella bradshaveana,Bradshaw Talussnail
Sonorella caerulifluminis,Blue Talussnail
Sonorella cayetanensis,Sonoran Talussnail
Sonorella christenseni,Clark Peak Talussnail
Sonorella clappi,Madera Talussnail
Sonorella coloradoensis,Grand Canyon Talussnail
Sonorella coltoniana,Walnut Canyon Talussnail
Sonorella compar,Oak Creek Talussnail
Sonorella dalli,Garden Canyon Talussnail
Sonorella danielsi,Bear Canyon Talussnail
Sonorella delicata,Tollhouse Canyon Talussnail
Sonorella dragoonensis,Stronghold Canyon Talussnail
Sonorella eremita,San Xavier Talussnail
Sonorella ferrissi,Dragoon Talussnail
Sonorella franciscana,St. Francis Talussnail
Sonorella galiurensis,Galiuro Talussnail
Sonorella grahamensis,Pinaleno Talussnail
Sonorella granulatissima,Ramsey Canyon Talussnail
Sonorella granulatissima occidentalis,Madera Talussnail
Sonorella hinkleyi,Sonoran Talussnail
Sonorella hinkleyi fraterna,Sonoran Talussnail
Sonorella huachucana,Huachuca Talussnail
Sonorella imitator,Mimic Talussnail
Sonorella imperatrix,Total Wreck Talussnail
Sonorella imperialis,Empire Mountain Talussnail
Sonorella insignis,Whetstone Talussnail
Sonorella linearis,Sonoran Talussnail
Sonorella macrophallus,Wet Canyon Talussnail
Sonorella magdalenensis,Sonoran Talussnail
Sonorella marmorarius,Santa Catalina Talussnail
Sonorella meadi,Aqua Dulce Talussnail
Sonorella micra,Pygmy Sonorella
Sonorella micromphala,Milk Ranch Talussnail
Sonorella milleri,Table Top Talussnail
Sonorella montana,Santa Rita Talussnail
Sonorella mustang,Mustang Talussnail
Sonorella neglecta,Portal Talussnail
Sonorella odorata,Pungent Talussnail
Sonorella optata,Big Emigrant Talussnail
Sonorella papagorum,Black Mountain Talussnail
Sonorella parietalis,Huachuca Talussnail
Sonorella parva,Little Talussnail
Sonorella patagonica,Huachuca Talussnail
Sonorella pedregosensis,Leslie Canyon Talussnail
Sonorella reederi,Rampart Talussnail
Sonorella rinconensis,Posta Quemada Talussnail
Sonorella rooseveltiana,Roosevelt Talussnail
Sonorella rosemontensis,Santa Rita Talussnail
Sonorella russelli,Black Mesa Talussnail
Sonorella sabinoensis,Santa Catalina Talussnail
Sonorella santaritana,Aqua Caliente Talussnail
Sonorella simmonsi,Picacho Talussnail
Sonorella sitiens,Las Guijas Talussnail
Sonorella sitiens arida,Sonoran Talussnail
Sonorella sp. 1,A Talussnail
Sonorella strongiana,Richinbar Talussnail
Sonorella superstitionis,Superstition Mountains Talussnail
Sonorella tortillita,Tortolita Talussnail
Sonorella tryoniana,Sanford Talussnail
Sonorella tumacacori,Sonoran Talussnail
Sonorella tumamocensis,Sonoran Talussnail
Sonorella vespertina,Evening Talussnail
Sonorella virilis,Chiricahua Talussnail
Sonorella walkeri,Santa Rita Talussnail
